Size, Type, Time
100, "Sequential", 0.000010
100, "Parallel", 0.012730
100, "Built-in", 0.000006
100, "Sequential", 0.000008
100, "Parallel", 0.010176
100, "Built-in", 0.000006
100, "Sequential", 0.000008
100, "Parallel", 0.007366
100, "Built-in", 0.000005
100, "Sequential", 0.000008
100, "Parallel", 0.006689
100, "Built-in", 0.000006
100, "Sequential", 0.000007
100, "Parallel", 0.006813
100, "Built-in", 0.000005
1000, "Sequential", 0.000107
1000, "Parallel", 0.017248
1000, "Built-in", 0.000070
1000, "Sequential", 0.000095
1000, "Parallel", 0.025795
1000, "Built-in", 0.000067
1000, "Sequential", 0.000094
1000, "Parallel", 0.020797
1000, "Built-in", 0.000069
1000, "Sequential", 0.000094
1000, "Parallel", 0.018743
1000, "Built-in", 0.000074
1000, "Sequential", 0.000097
1000, "Parallel", 0.017607
1000, "Built-in", 0.000072
10000, "Sequential", 0.001233
10000, "Parallel", 0.027388
10000, "Built-in", 0.000855
10000, "Sequential", 0.001246
10000, "Parallel", 0.026504
10000, "Built-in", 0.000869
10000, "Sequential", 0.001111
10000, "Parallel", 0.026170
10000, "Built-in", 0.000869
10000, "Sequential", 0.001114
10000, "Parallel", 0.034964
10000, "Built-in", 0.000875
10000, "Sequential", 0.001108
10000, "Parallel", 0.028398
10000, "Built-in", 0.000871
100000, "Sequential", 0.016433
100000, "Parallel", 0.047454
100000, "Built-in", 0.011332
100000, "Sequential", 0.013911
100000, "Parallel", 0.047126
100000, "Built-in", 0.011103
100000, "Sequential", 0.014841
100000, "Parallel", 0.040905
100000, "Built-in", 0.011250
100000, "Sequential", 0.014154
100000, "Parallel", 0.040911
100000, "Built-in", 0.011376
100000, "Sequential", 0.014126
100000, "Parallel", 0.046413
100000, "Built-in", 0.011357
1000000, "Sequential", 0.182019
1000000, "Parallel", 0.163609
1000000, "Built-in", 0.136831
1000000, "Sequential", 0.189182
1000000, "Parallel", 0.146133
1000000, "Built-in", 0.135625
1000000, "Sequential", 0.182312
1000000, "Parallel", 0.145397
1000000, "Built-in", 0.138408
1000000, "Sequential", 0.187955
1000000, "Parallel", 0.142282
1000000, "Built-in", 0.135181
1000000, "Sequential", 0.184096
1000000, "Parallel", 0.147250
1000000, "Built-in", 0.135003
100, "Sequential", 0.000010
100, "Parallel", 0.015041
100, "Built-in", 0.000006
100, "Sequential", 0.000008
100, "Parallel", 0.007996
100, "Built-in", 0.000006
100, "Sequential", 0.000007
100, "Parallel", 0.006123
100, "Built-in", 0.000005
100, "Sequential", 0.000007
100, "Parallel", 0.006147
100, "Built-in", 0.000005
100, "Sequential", 0.000008
100, "Parallel", 0.007223
100, "Built-in", 0.000005
1000, "Sequential", 0.000126
1000, "Parallel", 0.014860
1000, "Built-in", 0.000072
1000, "Sequential", 0.000103
1000, "Parallel", 0.012833
1000, "Built-in", 0.000069
1000, "Sequential", 0.000102
1000, "Parallel", 0.011961
1000, "Built-in", 0.000070
1000, "Sequential", 0.000102
1000, "Parallel", 0.011627
1000, "Built-in", 0.000073
1000, "Sequential", 0.000103
1000, "Parallel", 0.012966
1000, "Built-in", 0.000069
10000, "Sequential", 0.001269
10000, "Parallel", 0.026062
10000, "Built-in", 0.000863
10000, "Sequential", 0.001286
10000, "Parallel", 0.025936
10000, "Built-in", 0.000909
10000, "Sequential", 0.001257
10000, "Parallel", 0.026476
10000, "Built-in", 0.000856
10000, "Sequential", 0.001208
10000, "Parallel", 0.030399
10000, "Built-in", 0.000963
10000, "Sequential", 0.001282
10000, "Parallel", 0.023825
10000, "Built-in", 0.000869
100000, "Sequential", 0.015981
100000, "Parallel", 0.036915
100000, "Built-in", 0.011860
100000, "Sequential", 0.013763
100000, "Parallel", 0.033394
100000, "Built-in", 0.011958
100000, "Sequential", 0.013800
100000, "Parallel", 0.033707
100000, "Built-in", 0.012009
100000, "Sequential", 0.014398
100000, "Parallel", 0.037932
100000, "Built-in", 0.012053
100000, "Sequential", 0.014753
100000, "Parallel", 0.035413
100000, "Built-in", 0.011831
1000000, "Sequential", 0.193338
1000000, "Parallel", 0.132833
1000000, "Built-in", 0.134978
1000000, "Sequential", 0.185215
1000000, "Parallel", 0.140186
1000000, "Built-in", 0.132978
1000000, "Sequential", 0.185990
1000000, "Parallel", 0.138585
1000000, "Built-in", 0.135039
1000000, "Sequential", 0.181434
1000000, "Parallel", 0.140208
1000000, "Built-in", 0.134905
1000000, "Sequential", 0.188711
1000000, "Parallel", 0.135500
1000000, "Built-in", 0.134154
