Size, Type, Time
100, "Sequential", 0.000012
100, "Parallel", 0.004275
100, "Built-in", 0.000014
100, "Sequential", 0.000009
100, "Parallel", 0.003881
100, "Built-in", 0.000010
100, "Sequential", 0.000008
100, "Parallel", 0.003588
100, "Built-in", 0.000008
100, "Sequential", 0.000008
100, "Parallel", 0.003093
100, "Built-in", 0.000009
100, "Sequential", 0.000008
100, "Parallel", 0.003050
100, "Built-in", 0.000009
1000, "Sequential", 0.000206
1000, "Parallel", 0.010842
1000, "Built-in", 0.000148
1000, "Sequential", 0.000198
1000, "Parallel", 0.012339
1000, "Built-in", 0.000107
1000, "Sequential", 0.000096
1000, "Parallel", 0.015879
1000, "Built-in", 0.000121
1000, "Sequential", 0.000096
1000, "Parallel", 0.014626
1000, "Built-in", 0.000106
1000, "Sequential", 0.000096
1000, "Parallel", 0.013984
1000, "Built-in", 0.000132
10000, "Sequential", 0.001219
10000, "Parallel", 0.023877
10000, "Built-in", 0.001896
10000, "Sequential", 0.001219
10000, "Parallel", 0.023693
10000, "Built-in", 0.001486
10000, "Sequential", 0.001214
10000, "Parallel", 0.027495
10000, "Built-in", 0.001310
10000, "Sequential", 0.001342
10000, "Parallel", 0.024378
10000, "Built-in", 0.001342
10000, "Sequential", 0.001325
10000, "Parallel", 0.024851
10000, "Built-in", 0.001509
100000, "Sequential", 0.015692
100000, "Parallel", 0.037397
100000, "Built-in", 0.017445
100000, "Sequential", 0.015290
100000, "Parallel", 0.042998
100000, "Built-in", 0.017953
100000, "Sequential", 0.015533
100000, "Parallel", 0.036417
100000, "Built-in", 0.017553
100000, "Sequential", 0.015972
100000, "Parallel", 0.032379
100000, "Built-in", 0.017039
100000, "Sequential", 0.016094
100000, "Parallel", 0.037136
100000, "Built-in", 0.017774
1000000, "Sequential", 0.186663
1000000, "Parallel", 0.079288
1000000, "Built-in", 0.212125
1000000, "Sequential", 0.199420
1000000, "Parallel", 0.072088
1000000, "Built-in", 0.211999
1000000, "Sequential", 0.185120
1000000, "Parallel", 0.074053
1000000, "Built-in", 0.206434
1000000, "Sequential", 0.186463
1000000, "Parallel", 0.071400
1000000, "Built-in", 0.206693
1000000, "Sequential", 0.187415
1000000, "Parallel", 0.074042
1000000, "Built-in", 0.207007
