Size, Seq, Par, Libc
100, 0.000012, 0.004275, 0.000014
100, 0.000009, 0.003881, 0.000010
100, 0.000008, 0.003588, 0.000008
100, 0.000008, 0.003093, 0.000009
100, 0.000008, 0.003050, 0.000009
1000, 0.000206, 0.010842, 0.000148
1000, 0.000198, 0.012339, 0.000107
1000, 0.000096, 0.015879, 0.000121
1000, 0.000096, 0.014626, 0.000106
1000, 0.000096, 0.013984, 0.000132
10000, 0.001219, 0.023877, 0.001896
10000, 0.001219, 0.023693, 0.001486
10000, 0.001214, 0.027495, 0.001310
10000, 0.001342, 0.024378, 0.001342
10000, 0.001325, 0.024851, 0.001509
100000, 0.015692, 0.037397, 0.017445
100000, 0.015290, 0.042998, 0.017953
100000, 0.015533, 0.036417, 0.017553
100000, 0.015972, 0.032379, 0.017039
100000, 0.016094, 0.037136, 0.017774
1000000, 0.186663, 0.079288, 0.212125
1000000, 0.199420, 0.072088, 0.211999
1000000, 0.185120, 0.074053, 0.206434
1000000, 0.186463, 0.071400, 0.206693
1000000, 0.187415, 0.074042, 0.207007
